MSA,city,state_id,lat,lng,MSA
"Medford, OR",Medford,OR,42.3372,-122.8537,"Medford, OR"
"Cary, NC",Cary,NC,35.782,-78.8191,"Cary, NC"
"Marysville, WA",Marysville,WA,48.0809,-122.1561,"Marysville, WA"
"Corona, CA",Corona,CA,33.8616,-117.5649,"Corona, CA"
"Ocala, FL",Ocala,FL,29.178,-82.1511,"Ocala, FL"
"Fredericksburg, VA",Fredericksburg,VA,38.2992,-77.4872,"Fredericksburg, VA"
"Gainesville, GA",Gainesville,GA,34.2903,-83.8301,"Gainesville, GA"
"Manchester, NH",Manchester,NH,42.9848,-71.4447,"Manchester, NH"
"Bayamón, PR",Bayamón,PR,18.3793,-66.1635,"Bayamón, PR"
"Champaign, IL",Champaign,IL,40.1144,-88.2735,"Champaign, IL"
"Alexandria, VA",Alexandria,VA,38.8185,-77.0861,"Alexandria, VA"
"Hayward, CA",Hayward,CA,37.6328,-122.0772,"Hayward, CA"
"Springfield, IL",Springfield,IL,39.771,-89.6538,"Springfield, IL"
"Lakewood, CO",Lakewood,CO,39.6977,-105.1168,"Lakewood, CO"
"Lafayette, IN",Lafayette,IN,40.399,-86.8594,"Lafayette, IN"
"Frederick, MD",Frederick,MD,39.4336,-77.4141,"Frederick, MD"
"Lake Charles, LA",Lake Charles,LA,30.2012,-93.2122,"Lake Charles, LA"
"Odessa, TX",Odessa,TX,31.8831,-102.3406,"Odessa, TX"
"Tuscaloosa, AL",Tuscaloosa,AL,33.2348,-87.5267,"Tuscaloosa, AL"
"Warner Robins, GA",Warner Robins,GA,32.597,-83.6529,"Warner Robins, GA"
"Palmdale, CA",Palmdale,CA,34.5944,-118.1057,"Palmdale, CA"
"Hollywood, FL",Hollywood,FL,26.0294,-80.1679,"Hollywood, FL"
"Midland, TX",Midland,TX,32.0249,-102.1137,"Midland, TX"
"Leesburg, FL",Leesburg,FL,28.7657,-81.8996,"Leesburg, FL"
"Port Arthur, TX",Port Arthur,TX,29.8554,-93.9264,"Port Arthur, TX"
"Muskegon, MI",Muskegon,MI,43.2281,-86.2563,"Muskegon, MI"
"Macon, GA",Macon,GA,32.8065,-83.6974,"Macon, GA"
"Kansas City, KS",Kansas City,KS,39.1234,-94.7443,"Kansas City, KS"
"Sunnyvale, CA",Sunnyvale,CA,37.3836,-122.0256,"Sunnyvale, CA"
"Pomona, CA",Pomona,CA,34.0585,-117.7626,"Pomona, CA"
"Escondido, CA",Escondido,CA,33.1347,-117.0722,"Escondido, CA"
"Pasadena, TX",Pasadena,TX,29.6583,-95.1499,"Pasadena, TX"
"New Bedford, MA",New Bedford,MA,41.6697,-70.9428,"New Bedford, MA"
"Fairfield, CA",Fairfield,CA,38.2592,-122.0324,"Fairfield, CA"
"Naperville, IL",Naperville,IL,41.7483,-88.1657,"Naperville, IL"
"Bellevue, WA",Bellevue,WA,47.5951,-122.1535,"Bellevue, WA"
"Binghamton, NY",Binghamton,NY,42.1014,-75.9093,"Binghamton, NY"
"Elkhart, IN",Elkhart,IN,41.6916,-85.9628,"Elkhart, IN"
"Topeka, KS",Topeka,KS,39.0346,-95.6955,"Topeka, KS"
"Joliet, IL",Joliet,IL,41.5189,-88.1499,"Joliet, IL"
"Beaumont, TX",Beaumont,TX,30.0849,-94.1451,"Beaumont, TX"
"Paterson, NJ",Paterson,NJ,40.9147,-74.1624,"Paterson, NJ"
"Merced, CA",Merced,CA,37.3057,-120.4778,"Merced, CA"
"Pueblo, CO",Pueblo,CO,38.2705,-104.6112,"Pueblo, CO"
"Tyler, TX",Tyler,TX,32.3184,-95.3062,"Tyler, TX"
"Torrance, CA",Torrance,CA,33.8346,-118.3417,"Torrance, CA"
"Yuma, AZ",Yuma,AZ,32.5992,-114.5488,"Yuma, AZ"
"Metairie, LA",Metairie,LA,29.9977,-90.178,"Metairie, LA"
"Surprise, AZ",Surprise,AZ,33.68,-112.4524,"Surprise, AZ"
"Columbia, MO",Columbia,MO,38.9478,-92.3256,"Columbia, MO"
"Athens, GA",Athens,GA,33.9508,-83.3689,"Athens, GA"
"Roseville, CA",Roseville,CA,38.7703,-121.3196,"Roseville, CA"
"Thornton, CO",Thornton,CO,39.9197,-104.9438,"Thornton, CO"
"Miramar, FL",Miramar,FL,25.9773,-80.3351,"Miramar, FL"
"Pasadena, CA",Pasadena,CA,34.1597,-118.139,"Pasadena, CA"
"Mesquite, TX",Mesquite,TX,32.7623,-96.5889,"Mesquite, TX"
"Olathe, KS",Olathe,KS,38.8832,-94.8198,"Olathe, KS"
"Santa Maria, CA",Santa Maria,CA,34.9334,-120.4432,"Santa Maria, CA"
"Houma, LA",Houma,LA,29.5799,-90.7058,"Houma, LA"
"Carrollton, TX",Carrollton,TX,32.989,-96.8999,"Carrollton, TX"
"Grand Junction, CO",Grand Junction,CO,39.0876,-108.5673,"Grand Junction, CO"
"Charleston, WV",Charleston,WV,38.3484,-81.6323,"Charleston, WV"
"Orange, CA",Orange,CA,33.8038,-117.8218,"Orange, CA"
"Fullerton, CA",Fullerton,CA,33.8841,-117.9279,"Fullerton, CA"
"Greeley, CO",Greeley,CO,40.4151,-104.7706,"Greeley, CO"
"Carolina, PR",Carolina,PR,18.4054,-65.9792,"Carolina, PR"
"Las Cruces, NM",Las Cruces,NM,32.3265,-106.7892,"Las Cruces, NM"
"Panama City, FL",Panama City,FL,30.1995,-85.6004,"Panama City, FL"
"Harlingen, TX",Harlingen,TX,26.1917,-97.6976,"Harlingen, TX"
"West Valley City, UT",West Valley City,UT,40.6889,-112.0115,"West Valley City, UT"
"Hampton, VA",Hampton,VA,37.0551,-76.363,"Hampton, VA"
"Warren, MI",Warren,MI,42.4934,-83.027,"Warren, MI"
"Mauldin, SC",Mauldin,SC,34.7849,-82.3005,"Mauldin, SC"
"Bloomington, IL",Bloomington,IL,40.4757,-88.9703,"Bloomington, IL"
"Coral Springs, FL",Coral Springs,FL,26.2702,-80.2591,"Coral Springs, FL"
"Round Rock, TX",Round Rock,TX,30.5254,-97.666,"Round Rock, TX"
"Yakima, WA",Yakima,WA,46.5923,-120.5496,"Yakima, WA"
"Sterling Heights, MI",Sterling Heights,MI,42.5809,-83.0305,"Sterling Heights, MI"
"Kent, WA",Kent,WA,47.3887,-122.2129,"Kent, WA"
"Burlington, NC",Burlington,NC,36.0758,-79.4686,"Burlington, NC"
